noise_strength,group,r2_mean,r2_var,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_var,complexity_count,seconds_mean,seconds_var,seconds_count
0,Feynman,0.9029584131922193,0.05453828279840215,119,119,0.8151260504201681,59.67226890756302,628.5396511545796,119,8.92025086058288,8.366284845576416,119
0,Strogatz,0.6004921819740472,0.11354079244030735,14,14,0.2857142857142857,57.857142857142854,375.1224489795918,14,7.528430989810398,6.4415865982712495,14
0,Black-box,0.440795488390988,0.10732035914382794,88,89,0.07865168539325842,93.46067415730337,1151.3720489837146,89,7.636910044745113,5.2519952560797565,89
0.001,Feynman,0.9165065602588189,0.04223450773797629,119,119,0.865546218487395,61.411764705882355,678.7464162135441,119,12.963181609867,22.487527650174172,119
0.001,Strogatz,0.6392077760666866,0.10175936645536657,14,14,0.35714285714285715,54.92857142857143,406.4948979591837,14,9.21588340827397,16.174339657425733,14
0.001,Black-box,0.48379359710795783,0.09194472508677821,85,89,0.11235955056179775,95.70786516853933,1471.8022976896857,89,15.002126492811053,37.342398285059545,89
0.01,Feynman,0.900257408562741,0.053205184478642635,118,119,0.8151260504201681,64.98319327731092,473.98291081138325,119,13.447733730829063,14.472883817487368,119
0.01,Strogatz,0.549793121957484,0.15796867511058532,14,14,0.35714285714285715,60.642857142857146,312.0867346938775,14,7.200045142854963,5.396046307074519,14
0.01,Black-box,0.48087518491720793,0.08162243660689429,83,89,0.06741573033707865,93.68539325842697,1080.912258553213,89,14.721503131845024,45.03155214040625,89
0.1,Feynman,0.8523320351705193,0.043137702864901685,117,119,0.6554621848739496,82.5126050420168,441.30866464232747,119,13.995641522046899,16.057191911282523,119
0.1,Strogatz,0.5842313409659674,0.1259184304503443,14,14,0.2857142857142857,67.57142857142857,337.95918367346934,14,8.888922435896736,11.5910075849048,14
0.1,Black-box,0.38998816436243233,0.09468930147681935,75,89,0.06741573033707865,95.50561797752809,1360.1825527079907,89,14.706707702593857,37.37502711418493,89
