dataset,status,n_features,refinement_type,r2,rmse,complexity,complexity_original,complexity_simplified,expr,expr_simplified,seconds,error,rows
feynman_I_12_1,ok,2,NoRef,0.9998680719583403,0.05780685668321797,11,11,11,((0.099 + (0.038000000000000006 * (-2.566602023658053 + (0.8997949016063425 * x_0)))) * (89.5 + (30.900000000000002 * (-2.878930580317207 + (0.928002407756839 * x_1))))),(0.03419220626104102*x_0 + 0.0014691231009939748)*(28.675274399686326*x_1 + 0.54104506819829801),4.506718397140503,,200
feynman_I_12_11,ok,5,NoRef,0.9911889420981118,2.39623096476678,36,34,36,((0.2 + (0.07 * (-2.7336069787470243 + (0.8973963259979115 * x_0)))) * ((50.0 + (16.3 * (-2.6846738802725283 + (0.8727114307740083 * x_1)))) + ((2.0 + (0.75 * (-2.6603944928985346 + (0.9006524322203873 * x_2)))) * ((0.001 + (-0.9 * sin((-0.14 + (-2.5860302835261004 + (0.8650529647164638 * x_4)))))) * (80.8 + (33.6 * (-2.577161210079287 + (0.8594599513383012 * x_3)))))))),(0.06281774281985381*x_0 + 0.0086475114877082918)*(14.22519632161634*x_1 - (0.6754893241652905*x_2 + 0.0047041303260990496)*(28.87785436496692*x_3 - 5.79261665866405)*(0.9*sin(0.8650529647164638*x_4 - 2.7260302835261004) - 0.001) + 6.2398157515577868),10.120872974395752,,200
feynman_I_12_2,ok,4,NoRef,0.9955102449929353,0.007901881224209064,37,37,37,(((2.6 + (-2.617184116087947 + (0.8521397663891764 * x_1))) * (0.02 + (0.006999999999999999 * (-2.8539742313544565 + (0.9239149687966296 * x_0))))) * (0.01 + (0.5 * ((0.01 + (-0.9 * inv(((0.2 + (0.08 * (-2.5317902960514966 + (0.853150896025948 * x_3)))) * (4.4 + (0.9700000000000001 * (-2.556480029432039 + (0.8349043469624741 * x_2)))))))))**2))),(0.006467404781576406*x_0 + 2.2180380518807904e-5)*(0.8521397663891764*x_1 - 0.0171841160879469)*(0.5*(0.01 - 0.9/((0.8098572165536*x_2 + 1.920214371450922)*(0.0682520716820758*x_3 - 0.0025432236841197212)))**2 + 0.01),9.382438898086548,,200
feynman_I_12_4,ok,3,NoRef,0.9952144151407105,0.0016976653933224097,69,41,69,((0.0092 + (0.00358 * (-2.610281525456201 + (0.8563534632402007 * x_0)))) * (-0.00916 + (0.991 * inv((-0.00826 + (0.00077 * (((-0.53 + (-0.2 * (-2.6386330449565643 + (0.8571845166463317 * x_2)))) * (0.024800000000000003 + (31.400000000000002 * sqrt((5.0 + (1.96 * (-2.506670832800553 + (0.8357722543545856 * x_1)))))))))**2)))))),-(0.003065745398399918*x_0 - 0.0001448078611331993)*(7.0532e-6*(0.1714369033292664*x_2 + 0.0022733910086871374)**2*(31.400000000000002*sqrt(1.638113618534988*x_1 + 0.0869251677109163) + 0.024800000000000003)**2 - 0.9910756616)/(0.00077*(0.1714369033292664*x_2 + 0.0022733910086871374)**2*(31.400000000000002*sqrt(1.638113618534988*x_1 + 0.0869251677109163) + 0.024800000000000003)**2 - 0.00826),9.234695672988892,,200
feynman_I_12_5,ok,2,NoRef,0.9999532793084591,0.03332537349447206,17,15,17,((0.07890000000000001 + (0.030000000000000002 * (-2.643473215745853 + (0.8815481695584527 * x_0)))) * ((((49.6 * (-2.7429584544718253 + (0.9245535089554948 * x_1))) - (0.08220000000000001 + (8.5 * (-2.7429584544718253 + (0.9245535089554948 * x_1))))) + ((26.3 + (0.06870000000000001 * (-2.7429584544718253 + (0.9245535089554948 * x_1)))) - (0.066 + (0.00095 * (-2.7429584544718253 + (0.9245535089554948 * x_1)))))) - (-86.2 + (0.003 * (-2.643473215745853 + (0.8815481695584527 * x_0)))))),-(0.026446445086753583*x_0 - 0.00040419647237558462)*(0.002644644508675358*x_0 - 38.06178771830257*x_1 + 0.56169749443524852),4.017697095870972,,200
feynman_I_13_12,ok,5,NoRef,0.9393958781401256,2.3917070948355517,65,53,65,(((2.7800000000000002 + (-2.668801708030412 + (0.8819198439156285 * x_0))) * (((((-2.7093703865142946 + (0.8748960358981902 * x_2)) + (-0.007039999999999999 + (49.300000000000004 * (-2.5612832345666563 + (0.8379805705041466 * x_3))))) + (-0.0238 + (-49.4 * (-2.7093703865142946 + (0.8748960358981902 * x_2))))) * (0.00849 + (-0.00248 * (-2.7093703865142946 + (0.8748960358981902 * x_2))))) * (((-0.00987 + inv((99.9 * (-2.6701260084176734 + (0.8768008800903796 * x_1))))) + (83.0 + (38.0 * (-2.384599847508499 + (0.8257596665344117 * x_4))))) * (0.0073999999999999995 + (0.00274 * (-2.6701260084176734 + (0.8768008800903796 * x_1))))))) * (0.0034 + (-0.12200000000000001 * inv((0.0257 + (0.00967 * (-2.5612832345666563 + (0.8379805705041466 * x_3)))))))),-(0.8819198439156285*x_0 + 0.1111982919695882)*(0.00240243441144764*x_1 + 8.3854736935574874e-5)*(0.002169742169027512*x_2 - 0.01520923855855545)*(2.755112519703533e-5*x_3 - 0.12199682987018609)*((87.59240792102893*x_1 - 266.74558824092559)*(31.37886732830764*x_4 - 7.624664205322962) + 1)*(-42.3449681374724*x_2 + 41.31244212585443*x_3 + 4.8314232431556887)/((87.59240792102893*x_1 - 266.74558824092559)*(0.008103272116775097*x_3 + 0.00093239112174043476)),13.635234594345093,,200
feynman_I_13_4,ok,4,NoRef,0.9973883536963818,1.3060683951721266,40,42,40,((0.2 + (0.07200000000000001 * (-2.7370812263130415 + (0.902756266590703 * x_0)))) * ((0.09000000000000001 + (80.0 * exp((0.9 + (0.26 * (-2.6220737557332443 + (0.8728146501207767 * x_1))))))) - ((0.001 + (-37.0 * (-2.5379950056480767 + (0.8946994347622791 * x_3)))) + ((0.01 + (-8.0 * (-2.5379950056480767 + (0.8946994347622791 * x_3)))) + ((0.6 + (0.13 * (-2.548140169947589 + (0.8525284766606351 * x_2)))) * ((-0.1 + (-85.0 * (-2.548140169947589 + (0.8525284766606351 * x_2)))) + (-0.1 + (-0.006 * ((0.001 + (49.1 * (-2.5379950056480767 + (0.8946994347622791 * x_3)))))**2)))))))),(0.06499845119453062*x_0 + 0.0029301517054609952)*(40.26147456430256*x_3 + (0.1108287019658826*x_2 + 0.2687417779068134)*(72.46492051615398*x_2 + 0.006*(43.9297422468279*x_3 - 124.61455477732057)**2 - 216.3919144455451) + 99.512917333267086*exp(0.226931809031402*x_1) - 114.13077525416345),10.576951742172241,,200
feynman_I_14_3,ok,3,NoRef,0.9997548180526,0.28813412573036906,23,23,23,(((2.37 + (0.88 * (-2.6760694322662943 + (0.8805989180487918 * x_1)))) * ((0.8500000000000001 + (0.34500000000000003 * (-2.428453058567591 + (0.8889549158624802 * x_0)))) * (12.6 + (4.63 * (-2.722875886256813 + (0.8863816221636266 * x_2)))))) - (0.0422 + (-0.05380000000000001 * (-2.6760694322662943 + (0.8805989180487918 * x_1))))),0.04737622179102501*x_1 + (0.30668944597255569*x_0 + 0.012183694794181125)*(0.7749270478829368*x_1 + 0.015058899605661109)*(4.103946910617591*x_2 - 0.006915353369044253) - 0.18617253545592666,9.534463167190552,,200
feynman_I_14_4,ok,2,NoRef,0.9999212261023406,0.11754836827231185,23,21,23,(((-0.0021 + ((2.65 + (-2.630906588185309 + (0.8633123577016952 * x_1))))**2) * (15.200000000000001 + (5.84 * (-2.626437502441532 + (0.8816095514609437 * x_0))))) * (0.131 + (-0.00112 * (-2.626437502441532 + (0.8816095514609437 * x_0))))),-(0.0009874026976362569*x_0 - 0.1339416100027345)*(5.148599780531911*x_0 - 0.13839501425854557)*((0.8633123577016952*x_1 + 0.01909341181469093)**2 - 0.0021),7.092682123184204,,200
feynman_I_15_10,ok,3,NoRef,0.9972289663882548,0.10618185176442167,25,20,25,(((4.96 + (-5.457180456861609 + (3.6446002602554834 * x_1))) * (-0.0164 + (-0.00633 * (-2.644856021421248 + (0.8646173589431646 * x_0))))) * (-57.4 + (-0.674 * exp(((0.391 + (-1.27 * (-2.999068701425839 + (0.46665137782532334 * x_2)))) + (-0.0308 + (0.0025 * (-2.999068701425839 + (0.46665137782532334 * x_2))))))))),(0.005473027882110232*x_0 - 0.0003419386155964974)*(3.6446002602554834*x_1 - 0.4971804568616091)*(57.4*exp(0.59148062139359734*x_2) + 43.24987793178455)*exp(-0.59148062139359734*x_2),9.85230541229248,,200
