dataset,status,n_features,refinement_type,r2,rmse,complexity,complexity_original,complexity_simplified,seconds,error,noise_strength,expr,expr_simplified
712_chscase_geyser1,ok,2,BFGS,0.636564014611225,7.609233305026707,44,44,44,13.727711200714111,,0.01,((0.005362475507881925 + (-6.646682892038279 * sin(((-8.01891953162346 + (-0.24762547613468822 * (-1.5024884050165992 + (0.13469192335424468 * x_0)))) * (-0.2096315579592511 + (-20.235116661417365 * (-1.5024884050165992 + (0.13469192335424468 * x_0)))))))) - ((((-0.08429247550788194 + (0.03566243525886645 * (-3.3935425619618167 + (0.94461866768293 * x_1)))) + (-3.3897924755078823 + (0.23246243525886645 * (-3.3935425619618167 + (0.94461866768293 * x_1))))) - (70.5997924755079 + (-0.04823836218845751 * abs((-55.79813030737391 + (90.39864263532826 * inv(((1.924574396615898 + (2.0018963706707718 * tan((45.268038100562016 + (92.22945194189676 * (-1.5024884050165992 + (0.13469192335424468 * x_0))))))) - (1.2984256033841022 + (0.7962104574516279 * (-1.5024884050165992 + (0.13469192335424468 * x_0)))))))))))) - (0.637792475507882 + (11.697337564741135 * (-3.3935425619618167 + (0.94461866768293 * x_1)))))),10.796247667882141*x_1 - 6.646682892038279*sin((30.193396599978537 - 2.7255067824238272*x_0)*(-0.033353151652091771*x_0 - 7.6468651249443766)) - 0.04823836218845751*Abs(55.79813030737391 - 90.39864263532826/(-0.10724311790892276*x_0 + 2.0018963706707718*tan(12.422562271961952*x_0 - 93.305644043173536) + 1.822445773505829)) + 35.931512649978024
feynman_III_10_19,ok,4,NoRef,0.9898811761691747,0.7237537755135045,57,57,57,12.024510145187378,,0.01,((-2.33 + (-0.868 * (-2.673971965623433 + (0.8898553227888648 * x_0)))) * ((((-0.012400000000000001 * (-2.7632761273837882 + (0.8839173948987078 * x_3))) * ((84.10000000000001 + (0.0145 * (-2.5928212263706856 + (0.8757205925655337 * x_1)))) - (18.2 + (8.75 * (-2.5928212263706856 + (0.8757205925655337 * x_1)))))) + ((0.00378 + (-0.81 * (-2.5928212263706856 + (0.8757205925655337 * x_1)))) - (7.0 + (-0.07100000000000001 * cos((0.0012599999999999998 + (-8.0 * (-2.7632761273837882 + (0.8839173948987078 * x_3))))))))) - ((-1.87 + (0.42300000000000004 * cos((-9.200000000000001 + (-2.7632761273837882 + (0.8839173948987078 * x_3)))))) * (0.9680000000000001 + (-0.927 * ((-0.9720000000000001 + (-0.21300000000000002 * (-2.6890810491196837 + (0.8961237359346407 * x_2)))))**2))))),(0.7723944201807346*x_0 + 0.008992333838860278)*(0.7093336799780823*x_1 + (0.9680000000000001 - 0.927*(0.19087435575407849*x_2 + 0.39922573653750742)**2)*(0.42300000000000004*cos(0.8839173948987078*x_3 - 11.963276127383789) - 1.87) - (7.64985723635622*x_1 - 88.549589822961135)*(0.010960575696743978*x_3 - 0.034264623979558976) - 0.07100000000000001*cos(7.071339159189662*x_3 - 22.107469019070306) + 4.8960348066397445)
feynman_III_12_43,ok,2,NoRef,0.9992033244107869,0.023119727542381653,24,22,24,15.050725221633911,,0.01,((0.02 + (0.007699999999999999 * (-2.5465486207773664 + (0.8639978684630047 * x_1)))) * ((0.8 + (0.3 * (-2.6600860698602395 + (0.8787782072695123 * x_0)))) * (88.9 + (-1.5 * cos((0.01 + (-27.0 * (-2.6600860698602395 + (0.8787782072695123 * x_0))))))))),-(0.2636334621808537*x_0 + 0.0019741790419282243)*(0.006652783587165135*x_1 + 0.00039157562001428182)*(1.5*cos(23.72701159627683*x_0 - 71.832323886226466) - 88.9)
feynman_III_13_18,ok,4,NoRef,0.9988271498236492,18.93364369486871,64,58,64,15.54081106185913,,0.01,(((0.00075 + inv((2.44 + (-2.4699294639154807 + (0.8560964559950999 * x_3))))) * (((2.31 + (-2.538907955679724 + (0.8360455927136513 * x_1))) * (-3.5300000000000002 + (-1.3900000000000001 * (-2.559111498086225 + (0.8438989755780321 * x_0))))) * (-16.3 + (-6.3500000000000005 * (-2.557360784962865 + (0.8860604608557809 * x_2)))))) * ((-0.00554 + (39.5 * ((0.006189999999999999 * (-2.4699294639154807 + (0.8560964559950999 * x_3))))**2)) + ((6.390000000000001 + (2.04 * (-2.538907955679724 + (0.8360455927136513 * x_1)))) + (0.00831 + (0.10400000000000001 * cos((0.00635 + (-91.4 * inv((22.6 + (58.6 * (-2.538907955679724 + (0.8360455927136513 * x_1))))))))))))),(1.1730195760534647*x_0 - 0.027164982339852824)*(0.8360455927136513*x_1 - 0.2289079556797239)*(5.6264839264342092*x_2 + 0.060759015485806644)*(0.0006420723419963249*x_3 + 0.99997755290206339)*(1.7055330091358487*x_1 + 0.0011092355811065695*x_3**2 - 0.0064005256066945045*x_3 + 0.10400000000000001*cos((0.3111009255046768*x_1 - 92.20124303938799)/(48.99227173301997*x_1 - 126.1800062028318)) + 1.2226308694817071)/(0.8560964559950999*x_3 - 0.029929463915480754)
feynman_III_14_14,ok,5,NoRef,0.9122157817502086,2.10562363017097,38,36,38,15.37967300415039,,0.01,((0.02 + (0.007699999999999999 * (-2.668504578371374 + (0.895141141763398 * x_0)))) * (-0.09000000000000001 + (9.0 * inv(((0.02 + (0.006 * (-5.170473117636555 + (3.4111455044222505 * x_3)))) * (-1.0 + (9.0 * exp(((-1.2 + (-0.2 * (-4.857485252493451 + (3.2877290201094715 * x_1)))) + ((0.1 + (0.18000000000000002 * (-5.1655723252122225 + (3.434279417769823 * x_4)))) + (0.01 + (-0.16 * (-5.111852970749168 + (3.3644339378306247 * x_2)))))))))))))),-(0.09000000000000001 - 9.0/((0.020466873026533503*x_3 - 0.01102283870581933)*(7.147874820455152*exp(-0.65754580402189434*x_1 - 0.53830943005289996*x_2 + 0.61817029519856821*x_4) - 1.0)))*(0.006892586791578164*x_0 - 0.0005474852534595766)
feynman_III_15_12,ok,3,BFGS,-1.6601616534828167e-06,4.89457026940287,40,40,40,11.096922636032104,,0.01,((-528.852916590271 + (3.408449753919185e-09 * (((-4.135713453108091 + (-0.9145812951075681 * (-2.7555269573611176 + (0.9149371100073108 * x_1)))) - (4.10851050124873 + (-39.67337352655084 * sin((((0.14652847231303662 + (-4.948343426544225 * (-2.433749339868416 + (0.8313595104823411 * x_2)))) + ((0.053058487336244166 + (23.415732666928797 * (-2.6957874627590446 + (0.884057098270909 * x_0)))) - (-0.09652846378179072 + (63.15006627937887 * inv((0.0009080662601308124 + (-0.007577427244472567 * (-2.6957874627590446 + (0.884057098270909 * x_0))))))))) - (-65.45652844497408 + (2.3683435068150738 * (-2.433749339868416 + (0.8313595104823411 * x_2))))))))))**2)) * (-0.01208907090459698 + (7.66134066265245e-12 * (-2.6957874627590446 + (0.884057098270909 * x_0))))),(6.77306259508945e-12*x_0 - 0.012089070925250326)*(3.408449753919185e-9*(-0.8367843670124618*x_1 + 39.67337352655084*sin(20.700844675412404*x_0 - 6.0827972672701281*x_2 + 20.435787307668151 - 63.15006627937887/(0.021335199625748773 - 0.006698878342107347*x_0)) - 5.7240705409896739)**2 - 528.852916590271)
feynman_III_15_14,ok,3,NoRef,0.8723312922642098,0.00758544835598113,42,42,42,16.39729905128479,,0.01,((0.001 + (0.0005 * (-2.34578704306449 + (0.8008218224036182 * x_0)))) * (-0.1 + (0.9 * (((0.01 + (0.002 * (-2.34578704306449 + (0.8008218224036182 * x_0)))) * (0.01 + (-9.0 * inv(((0.02 + (0.0076 * (-2.600944791990059 + (0.8402356442102845 * x_2)))) * (2.4 + (-0.5 * exp((0.1 + (-0.4 * (-2.7086572108381093 + (0.888939095052541 * x_1)))))))))))))**2))),(0.0004004109112018091*x_0 - 0.000172893521532245)*(0.9*(0.01 - 9.0/((2.4 - 1.6328316297026205*exp(-0.355575638021016*x_1))*(0.006385790895998162*x_2 + 0.0002328195808755521)))**2*(0.001601643644807236*x_0 + 0.00530842591387102)**2 - 0.1)
feynman_III_15_27,ok,3,NoRef,0.998319191634508,0.11125212416285013,32,32,32,14.384636402130127,,0.01,((0.0437 + (71.0 * inv((((-0.023000000000000003 + (-2.4893777348254535 + (0.8762245096472185 * x_1))) - ((0.060300000000000006 + (-0.0772 * exp((-0.652 * (-2.533070086737555 + (0.8625339673768139 * x_2)))))) + (88.7 + (36.6 * (-2.4893777348254535 + (0.8762245096472185 * x_1)))))) * (-0.754 + (-0.29600000000000004 * (-2.533070086737555 + (0.8625339673768139 * x_2)))))))) * (2.07 + (0.791 * (-2.4879626933927046 + (0.833693497064789 * x_0))))),(0.0437 + 71.0/((0.25531005434353695*x_2 + 0.0042112543256836174)*(31.19359254344098*x_1 + 0.16145264021385478 - 0.4026071020787943*exp(-0.5623721467296827*x_2))))*(0.659451556178248*x_0 + 0.10202150952637041)
feynman_III_17_37,ok,3,NoRef,0.9583480947763027,1.0898751641650868,38,38,38,15.591858863830566,,0.01,((((((0.0376 + (-7.58 * cos((-0.0771 + (-2.551596122504234 + (0.8474189011325017 * x_2)))))) * (3.7 + (1.36 * (-2.5686713329782953 + (0.862001671169859 * x_1))))) - (-29.2 + (0.00813 * (-2.5686713329782953 + (0.862001671169859 * x_1))))) - (16.5 + (0.228 * (-2.551596122504234 + (0.8474189011325017 * x_2))))) * (0.403 + (0.165 * (-2.491499110603535 + (0.8386271442685918 * x_0))))) + (0.010900000000000002 + (0.09690000000000001 * (-2.491499110603535 + (0.8386271442685918 * x_0))))),0.08126297027962655*x_0 + (0.008097353249583272 - 0.1383734788043177*x_0)*(0.00700807358661095*x_1 + 0.1932115094582104*x_2 + (1.17232227279101*x_1 + 0.20660698714951832)*(7.58*cos(0.8474189011325017*x_2 - 2.628696122504234) - 0.0376) - 13.302647213868078) - 0.23052626381748257
feynman_III_19_51,ok,5,NoRef,0.6561424677775278,1.069814657316194,38,29,38,16.681424140930176,,0.01,((0.02 + (0.006999999999999999 * (-2.7193729315376136 + (0.8742168644608117 * x_0)))) * (0.01 + (-2.0 * exp((((1.5 * (-2.7325304403218103 + (0.9024643506596678 * x_1))) + (-1.0 + (-0.8 * (-2.6537424167771304 + (0.8886083008934242 * x_3))))) + ((0.1 + (-0.7000000000000001 * (-2.712534670836872 + (0.9145791987347105 * x_2)))) + (-0.1 + (0.9 * exp((0.1 + (-0.6 * (-2.6622629714337247 + (0.9132238574171417 * x_4))))))))))))),-(-0.01 + 0.68121297921685913*exp(-((-1.353696525989502*x_1 + 0.6402054391142974*x_2 + 0.7108866407147394*x_3)*exp(0.547934314450285*x_4) - 4.9135528124590952)*exp(-0.547934314450285*x_4)))*(0.006119518051225681*x_0 + 0.00096438947923670806)
feynman_III_21_20,ok,4,NoRef,0.9995272686066786,0.29024601618624235,33,29,33,15.600820302963257,,0.01,(((2.6 + (-2.5656360395809217 + (0.8550844648633008 * x_2))) * (0.2 + (0.08 * (-2.4948596073666858 + (0.8712831628673021 * x_0))))) * ((0.2 + (0.07700000000000001 * (-2.6240687793748685 + (0.8890183185341883 * x_1)))) * (-9.0 + (-0.6 * inv((0.0084 + (0.0034999999999999996 * (-2.545412639486553 + (0.8474318891943581 * x_3))))))))),-(0.06970265302938417*x_0 + 0.00041123141066514292)*(0.06845441052713251*x_1 - 0.0020532960118648882)*(0.8550844648633008*x_2 + 0.034363960419078389)*(0.026694104509622277*x_3 + 0.59541950185617356)/(0.002966011612180253*x_3 - 0.00050894423820293498)
